rank,id,minplayers,maxplayers,maxplaytime,average_rating,age,total_owners,total_weights,mechanic_count,category_count,designer_count,name_clean,category_clean_Adventure,category_clean_Educational,category_clean_Era,category_clean_Expansion for Base-game,category_clean_Other,category_clean_Strategy,category_clean_Wargame,mechanic_clean_Co-op,mechanic_clean_Dice_Rolling,mechanic_clean_Movement,mechanic_clean_Other,mechanic_clean_PVP,mechanic_clean_Role_Playing,category_clean,mechanic_clean
1,174430,1,4,120,8.91603,12,36778,3.7768,9,5,1,Gloomhaven,1,0,0,0,0,0,0,0,0,0,0,1,0,Adventure,PVP
2,161936,2,4,60,8.65105,13,47498,2.8323,7,2,2,Pandemic Legacy Season ,0,1,0,0,0,0,0,0,0,0,1,0,0,Educational,Other
3,182028,2,4,120,8.55251,14,18489,4.3715,3,3,1,Through the Ages A New Story of Civilization,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
4,167791,1,5,120,8.39916,12,45204,3.2344,6,6,1,Terraforming Mars,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
5,12333,2,2,180,8.32843,13,45955,3.5627,5,3,2,Twilight Struggle,0,0,0,0,0,0,1,0,0,0,0,1,0,Wargame,PVP
6,187645,2,4,240,8.4542,14,23989,3.6698,6,5,1,Star Wars Rebellion,0,0,0,0,1,0,0,0,0,0,0,1,0,Other,PVP
7,169786,1,5,115,8.2913,14,47847,3.3694,3,4,1,Scythe,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
8,220308,1,4,150,8.58107,12,10125,4.3028,4,5,2,Gaia Project,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
9,193738,2,4,150,8.28646,12,21513,3.6929,4,2,1,Great Western Trail,0,0,1,0,0,0,0,0,0,0,1,0,0,Era,Other
10,120677,2,5,150,8.2038,12,35078,3.9507,4,4,2,Terra Mystica,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
11,233078,3,6,480,8.76321,14,7886,4.1992,10,7,3,Twilight Imperium Fourth Edition,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
12,115746,2,4,180,8.40905,13,15130,4.0538,5,7,3,War of the Ring Second Edition,1,0,0,0,0,0,0,0,0,0,0,1,0,Adventure,PVP
13,84876,2,4,90,8.12803,12,49353,3.0173,3,3,1,The Castles of Burgundy,0,0,0,0,1,0,0,0,1,0,0,0,0,Other,Dice_Rolling
14,173346,2,2,30,8.13145,10,59111,2.2319,2,4,2, Wonders Duel,0,0,1,0,0,0,0,0,0,0,1,0,0,Era,Other
15,180263,1,4,1000,8.46918,14,15904,2.8755,6,4,2,The th Continent,1,0,0,0,0,0,0,1,0,0,0,0,0,Adventure,Co-op
16,162886,1,4,120,8.39401,13,13743,3.9416,8,7,1,Spirit Island,0,0,1,0,0,0,0,0,0,0,0,1,0,Era,PVP
17,3076,3,5,150,8.04317,12,64351,3.2898,1,3,1,Puerto Rico,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
18,205637,1,2,120,8.23253,14,29728,3.2869,6,6,2,Arkham Horror The Card Game,1,0,0,0,0,0,0,0,0,0,1,0,0,Adventure,Other
19,183394,1,6,90,8.14783,13,21547,2.924,2,2,3,Viticulture Essential Edition,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
20,124361,2,5,100,8.09648,13,21776,3.0886,4,3,1,Concordia,0,0,1,0,0,0,0,0,0,0,1,0,0,Era,Other
21,102794,1,7,210,8.08256,12,29160,3.7861,2,4,1,Caverna The Cave Farmers,0,0,0,0,1,0,0,0,0,1,0,0,0,Other,Movement
22,224517,2,4,120,8.6513,14,9147,3.8815,2,3,3,Brass Birmingham,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
23,28720,2,4,120,8.11454,14,18886,3.8733,2,3,1,Brass Lancashire,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
